Word
αβαθής
αβγά
αβεβαιότητα
αγαθός
αγανάκτηση
αγάπη
αγαπώ
αγκώνας
άγνοια
αγορά
αγοράζω
αγοραπωλησία
αγόρι
αγροτικός
αγύριστος
αγωνίζομαι
αγωνιστής
άδεια
αδειοδοτικός
άδειος
αδελφή
αδελφός
αδερφή
αδερφός
αδέσποτος
αδήριτος
αδιάλειπτος
αδιάφορος
αδιαφορώ
αδιέξοδος
αδικαιολόγητα
αδύναμος
αδυνατώ
αδυσώπητος
αέναος
αέρας
αέριο
αεροπλάνο
αεροσκάφος
αετώμα
αθέατος
αθεράπευτος
αθλητής
αθλητικά
άθροισμα
αθώος
αθωότητα
αίθουσα
αίμα
αίρεση
αιρετός
αίσθημα
αισθητός
αισιόδοξος
αίτημα
αιτία
αιτιολογώ
αιφνίδια
αιφνιδιάζω
αιφνιδιαστικός
αιχμάλωτος
αιώρα
ακατάλληλος
ακατανίκητος
ακατάστατος
ακέραιος
ακίνητος
ακμή
ακολουθώ
ακόμα
ακόμη
ακονίζω
ακούω
άκρα
ακραίος
ακρίβεια
ακριβός
ακριβώς
ακροατήριο
ακροατής
ακροδεξία
άκρος
ΑΚΤΩΡ
ακυρώνω
αλαδιά
αλαζονικός
άλαλος
αλάτι
αλεπού
αλήθεια
αλιεία
αλλά
αλλαγή
αλλάζω
αλληλεγγύη
αλληλεπίδραση
αλληλογραφία
αλληλοκατηγορητικός
αλληλοσπαραγμός
αλληλουχία
αλλοδαπός
αλλού
άλλωστε
άλμα
αλογο-
άλογο
αλουμίνιο
αλυσίδα
αλφαβητικός
αλφάβητο
αμαζόνα
αμάξα
αμάξη
αμάξι
αμβλύνω
αμέλεια
αμελούμαι
αμερικανικός
αμετάκλητος
αμέτοχος
αμίαντος
αμμώδης
αμνός
αμοιβή
αμοιρία
αμόνι
αγαντάρω
αμύδρα
άμυνα
αμύνομαι
αμυντικός
αμφιβολία
αμφίδεξτρος
αμφίπλευρος
αμφισβήτηση
αμφισβητώ
αμφορέας
αμώμητος
αναβαθμίζω
αναβάθμιση
αναβαπτισμός
ανάβαση
ανέβασμα
αναβιώνω
αναβολή
ανάβω
αναγέννηση
αναγεννώ
αναγκάζω
ανάγκαιος
αναγκαιότητα
ανάγκη
ανάγλυφος
αναγνωρίζω
αναγνώριση
αναγνώρισμα
ανάγνωση
αναγνώστης
αναγνώστρια
αναγραφή
αναγράφω
ανάξιος
ανάγω
αναδείκνυμι
αναδεικνύω
αναδεικτικός
ανάδειξη
αναλώνω
αναδιανέμω
αναδιοργανώνω
αναδιοργάνωση
αναδιπλασιάζω
αναδιπλασιασμός
αναδιπλώνομαι
αναγόρευση
αναδόχευτος
αναδόχευτρα
ανάδοχος
αναδρομή
αναδρομικός
ἀναδύνω
ανάδυση
ακατέργαστος
αναίρεση
αναίρετος
αναζωογονητικός
ανάθεση
αναθέτω
αναθεώρηση
αναθηματικός
αναιτιολόγητα
αναιτιολόγητος
ανακάμπτω
ανάκαμψη
ανακατάληψη
ανακόπτω
ανακούφιση
ανάκτηση
αναλαμβάνομαι
αναλημματικός
αναμενόμενος
αναμένω
αναμέτρηση
αναμετρώ
αναμμένος
αναμονή
αναντίρρητα
αναξιοπιστία
ανάπαυση
αναπληρώνω
αναπολώ
αναπόδεικτος
αναπτυξιακός
ανάρτηση
ανάσα
ανάστημα
αναστοχασμός
ανασυγκρότηση
ανασυγκροτώ
ανασφάλεια
ανασχηματισμός
ανατέμνω
ανατίμηση
ανατολή
ανατολικά
ανατρέπω
ανάφλεξη
ανάχωμα
αναψηλάφηση
αναψυκτικό
άνδρας
